site,date,eto,vpd_medio,t_media,rh_media
la_esperanza,2023-02-11,4.8,29.475,29.968,30.518
rio_claro,2023-02-11,5,27.75,28.462,28.632
la_esperanza,2023-02-12,5.2,28.2,29.035,29.825
rio_claro,2023-02-12,4.9,26.175,27.197,27.584
la_esperanza,2023-02-13,5.1,23.2,27.435,36.623
rio_claro,2023-02-13,4.9,17.25,24.581,44.158
la_esperanza,2023-02-14,4.9,24.35,27.245,32.573
rio_claro,2023-02-14,0,17.475,23.801,40.91
la_esperanza,2023-02-15,5.3,27.075,28.575,31.16
rio_claro,2023-02-15,4.9,23.575,26.19,30.74
la_esperanza,2023-02-16,4.8,19.15,25.66,42.09
rio_claro,2023-02-16,0,15.513,23.31,45.725
la_esperanza,2023-02-17,4.7,22.85,26.375,33.723
rio_claro,2023-02-17,4.6,22.438,25.69,31.925
la_esperanza,2023-02-18,4.9,28.375,28.602,27.562
rio_claro,2023-02-18,4.8,29.575,28.469,23.806
la_esperanza,2023-02-19,4.8,27.9,28.995,30.44
rio_claro,2023-02-19,5,29.95,29.075,25.708
la_esperanza,2023-02-20,4.8,29.1,29.562,29.98
rio_claro,2023-02-20,4.9,29.825,28.958,25.528
la_esperanza,2023-02-21,4.9,28.15,29.01,30.075
rio_claro,2023-02-21,4.7,30.25,29.065,24.875
la_esperanza,2023-02-22,4.3,14.2,24.032,52.798
rio_claro,2023-02-22,4.6,21.75,26.239,36.142
la_esperanza,2023-02-23,4.7,22.1,27.082,39.017
rio_claro,2023-02-23,4.6,25.1,27.616,32.075
la_esperanza,2023-02-24,3.9,12.125,23.17,57.155
rio_claro,2023-02-24,4.5,18.825,25.639,42.528
la_esperanza,2023-02-25,4.2,15.25,24.725,51.457
rio_claro,2023-02-25,4.3,14.962,23.977,49.767
la_esperanza,2023-02-26,4.5,24.45,28.018,35.43
rio_claro,2023-02-26,0,20.962,25.53,35.865
la_esperanza,2023-02-27,4.8,28.8,28.922,27.995
rio_claro,2023-02-27,0,33.175,29.848,21.108
la_esperanza,2023-02-28,4.3,21.975,26.185,35.662
rio_claro,2023-02-28,0,23.062,26.309,32.576
la_esperanza,2023-03-01,4.2,23.7,27.675,36.108
rio_claro,2023-03-01,4.2,19.188,25.32,40.641
la_esperanza,2023-03-02,4.8,24.525,28.02,35.408
rio_claro,2023-03-02,4.3,24.075,26.91,32.115
la_esperanza,2023-03-03,4,14.35,23.23,50.185
rio_claro,2023-03-03,4.1,18.712,24.999,40.961
la_esperanza,2023-03-04,4.1,24.375,28.907,39.26
rio_claro,2023-03-04,0,24.65,28.54,36.7
la_esperanza,2023-03-05,4.3,18.525,26.042,44.8
rio_claro,2023-03-05,0,31.5,29.267,22.59
la_esperanza,2023-03-06,3.5,9.175,21.693,64.18
rio_claro,2023-03-06,4,18.85,24.84,39.841
la_esperanza,2023-03-07,4.3,17.875,26.413,48.242
rio_claro,2023-03-07,3.8,23.763,27.226,34.233
la_esperanza,2023-03-08,4,13.95,23.955,53.165
rio_claro,2023-03-08,3.8,18.388,25.061,42.12
la_esperanza,2023-03-09,3.7,18.7,26.285,45.445
rio_claro,2023-03-09,3.4,22.675,26.782,35.441
la_esperanza,2023-03-10,3.1,13.35,22.495,59.86
rio_claro,2023-03-10,4.5,13.2,22.6,51.5
la_esperanza,2023-03-11,3.9,16.825,24.12,44.395
rio_claro,2023-03-11,3.7,21.95,26.351,35.911
la_esperanza,2023-03-12,3.7,15.725,24.328,48.45
rio_claro,2023-03-12,3.6,18.1,24.56,41.315
la_esperanza,2023-03-13,3.3,15.225,25.47,53.245
rio_claro,2023-03-13,3.3,17.75,25.652,46.062
la_esperanza,2023-03-14,3.8,17.75,26.567,49.11
rio_claro,2023-03-14,0,17.775,25.828,46.445
la_esperanza,2023-03-15,3.5,22.5,25.75,31.955
rio_claro,2023-03-15,3.6,22.475,24.879,28.288
la_esperanza,2023-03-16,3.7,21.525,26.33,37.39
